clade_groups,Agriculture,orthology_meta,genome_count
Escovopsis,Coral,OG0000806,6
Escovopsis,Coral,OG0000807,6
Escovopsis,Coral,OG0000808,6
Escovopsis,Coral,OG0000809,6
Escovopsis,Coral,OG0000810,6
Escovopsis,Coral,OG0000811,6
Escovopsis,Coral,OG0000812,6
Escovopsis,Coral,OG0000813,6
Escovopsis,Coral,OG0000814,6
Escovopsis,Coral,OG0000815,6
Escovopsis,Coral,OG0000816,6
Escovopsis,Coral,OG0000817,6
Escovopsis,Coral,OG0000819,6
Escovopsis,Coral,OG0000820,6
Escovopsis,Coral,OG0000821,6
Escovopsis,Coral,OG0000822,5
Escovopsis,Coral,OG0000823,6
Escovopsis,Coral,OG0000824,6
Escovopsis,Coral,OG0000825,6
Escovopsis,Coral,OG0000826,6
Escovopsis,Coral,OG0000827,6
Escovopsis,Coral,OG0000828,6
Escovopsis,Coral,OG0000829,6
Escovopsis,Coral,OG0000830,6
Escovopsis,Coral,OG0000831,6
Escovopsis,Coral,OG0000832,6
Escovopsis,Coral,OG0000833,6
Escovopsis,Coral,OG0000834,6
Escovopsis,Coral,OG0000835,6
Escovopsis,Coral,OG0000836,6
Escovopsis,Coral,OG0000837,6
Escovopsis,Coral,OG0000838,6
Escovopsis,Coral,OG0000839,6
Escovopsis,Coral,OG0000840,6
Escovopsis,Coral,OG0000841,6
Escovopsis,Coral,OG0000842,5
Escovopsis,Coral,OG0000843,6
Escovopsis,Coral,OG0000844,6
Escovopsis,Coral,OG0000845,6
Escovopsis,Coral,OG0000846,6
Escovopsis,Coral,OG0000847,6
Escovopsis,Coral,OG0000848,6
Escovopsis,Coral,OG0000849,6
Escovopsis,Coral,OG0000850,6
Escovopsis,Coral,OG0000851,6
Escovopsis,Coral,OG0000852,6
Escovopsis,Coral,OG0000853,6
Escovopsis,Coral,OG0000854,6
Escovopsis,Coral,OG0000855,6
Escovopsis,Coral,OG0000856,6
Escovopsis,Coral,OG0000857,6
Escovopsis,Coral,OG0000858,6
Escovopsis,Coral,OG0000859,6
Escovopsis,Coral,OG0000860,6
Escovopsis,Coral,OG0000861,6
Escovopsis,Coral,OG0000862,6
Escovopsis,Coral,OG0000863,6
Escovopsis,Coral,OG0000864,6
Escovopsis,Coral,OG0000865,6
Escovopsis,Coral,OG0000866,6
Escovopsis,Coral,OG0000867,6
Escovopsis,Coral,OG0000868,6
Escovopsis,Coral,OG0000869,6
Escovopsis,Coral,OG0000870,6
Escovopsis,Coral,OG0000871,6
Escovopsis,Coral,OG0000872,6
Escovopsis,Coral,OG0000873,6
Escovopsis,Coral,OG0000874,6
Escovopsis,Coral,OG0000875,6
Escovopsis,Coral,OG0000876,6
Escovopsis,Coral,OG0000877,6
Escovopsis,Coral,OG0000878,6
Escovopsis,Coral,OG0000879,6
Escovopsis,Coral,OG0000880,6
Escovopsis,Coral,OG0000881,6
Escovopsis,Coral,OG0000883,6
Escovopsis,Coral,OG0000884,6
Escovopsis,Coral,OG0000886,6
Escovopsis,Coral,OG0000887,6
Escovopsis,Coral,OG0000888,6
Escovopsis,Coral,OG0000889,5
Escovopsis,Coral,OG0000890,6
Escovopsis,Coral,OG0000891,6
Escovopsis,Coral,OG0000892,6
Escovopsis,Coral,OG0000893,6
Escovopsis,Coral,OG0000895,6
Escovopsis,Coral,OG0000896,6
Escovopsis,Coral,OG0000897,5
Escovopsis,Coral,OG0000898,6
Escovopsis,Coral,OG0000900,6
Escovopsis,Coral,OG0000901,6
Escovopsis,Coral,OG0000902,6
Escovopsis,Coral,OG0000903,6
Escovopsis,Coral,OG0000904,6
Escovopsis,Coral,OG0000905,6
Escovopsis,Coral,OG0000906,6
Escovopsis,Coral,OG0000907,6
Escovopsis,Coral,OG0000908,6
