Orthogroup,group,group_n,NMDS1,NMDS2,NMDS3,NMDS4,BGC,Resistance,CAZyme,Lipase,Peptidase,Signaling,Virulence
OG0005045,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.015072263249674148,0.5549349370575083,-0.0028455614857715267,0.036875659633526583,1,0,0,0,0,1,0
OG0005046,"AllOutgroup,Coral,Higher,Lower",6,-0.9031996275131114,0.6315792122992944,0.0528717154981732,0.019275859642621598,0,0,0,0,0,1,0
OG0005047,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271653499307081,0.2771100892530814,-0.06674302409897555,0.03603600698055812,1,0,0,0,0,0,0
OG0005048,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.7291364810088331,-0.05069298171477074,-0.490359351895481,0.11035240452385227,0,0,0,1,0,1,0
OG0005059,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.6283820984376068,-0.07151037785158824,0.530157984537373,-0.2370194348255903,0,0,0,0,0,1,1
OG0005064,"AllOutgroup,Coral,Leafcutter,Lower",10,0.30628518558404555,0.22676941079094118,0.3539035216510843,0.6161162615340042,1,0,1,0,0,0,0
OG0005065,"AllOutgroup,Coral,Higher,Lower",6,0.8271689616492514,0.27710731030145286,-0.06673080847269233,0.03608348036457942,1,0,0,0,0,0,0
OG0005067,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271362442406899,0.27713479392546525,-0.0668384473232685,0.03565456750264149,1,0,0,0,0,0,0
OG0005077,"AllOutgroup,Coral,Lower",2,0.3004609649608547,-0.8345804543927355,0.11981749794399472,0.9237116145372184,0,1,0,0,0,0,0
OG0005081,"AllOutgroup,Higher,Lower",8,0.8271685307517337,0.27710764180820274,-0.0667322667036007,0.03607781486573975,1,0,0,0,0,0,0
OG0005101,"AllOutgroup,Coral,Leafcutter,Lower",10,-0.9031996277819158,0.6315792575508967,0.05287169176920637,0.019276131954178516,0,0,0,0,0,1,0
OG0005102,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.3671428108016379,-0.7672851639025478,-0.8903691110807839,0.1921616224483595,0,0,0,1,0,0,0
OG0005105,"AllOutgroup,Coral,Higher,Lower",6,-0.9031996127933947,0.6315787695931553,0.05287189863782444,0.019273092581428685,0,0,0,0,0,1,0
OG0005107,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271354745198729,0.277135527306472,-0.06684087051548164,0.03564447887403747,1,0,0,0,0,0,0
OG0005114,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.14886084637236063,-0.8253770679159923,0.8688078665542985,-0.306464396906309,0,0,0,0,0,0,1
OG0005122,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271677594062448,0.2771082346895682,-0.06673487719190195,0.03606767569884434,1,0,0,0,0,0,0
OG0005123,"AllOutgroup,Coral,Leafcutter,Lower",10,0.8271588544430801,0.2771152100494195,-0.0667648274357761,0.03595077423319669,1,0,0,0,0,0,0
OG0005124,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271555870538668,0.27711781193432805,-0.06677574808172856,0.035907926820428766,1,0,0,0,0,0,0
OG0005136,"AllOutgroup,Coral,Higher,Lower",6,-0.7291364808774293,-0.05069298196582117,-0.49035934982358564,0.11035241367473804,0,0,0,1,0,1,0
OG0005141,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271583308609571,0.277115626635575,-0.06676657867105922,0.03594390727393504,1,0,0,0,0,0,0
OG0005144,"AllOutgroup,Higher,Leafcutter,Lower",1,0.46657188492147617,0.19384464846213872,-0.20788828288774155,-0.5690965069358179,1,0,0,0,1,0,0
OG0005148,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271536715667349,0.27711934228377055,-0.06678213841413264,0.035882807226588945,1,0,0,0,0,0,0
OG0005153,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.9031996274499526,0.631579214276227,0.052871714157835994,0.019275870900816592,0,0,0,0,0,1,0
OG0005158,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.1489065010580232,-0.82534831841616,0.8689114997894409,-0.30607724789874846,0,0,0,0,0,0,1
OG0005160,"AllOutgroup,Coral,Leafcutter,Lower",10,0.8271351624006205,0.27713582464653624,-0.06684185297128253,0.035640388484397795,1,0,0,0,0,0,0
OG0005164,"AllOutgroup,Coral,Higher,Leafcutter",5,0.4665718849800781,0.19384464833943965,-0.20788828315015695,-0.5690965067707034,1,0,0,0,1,0,0
OG0005168,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.9031996136915831,0.6315791262980885,0.05287170662834537,0.019275228666314207,0,0,0,0,0,1,0
OG0005170,"AllOutgroup,Coral,Leafcutter,Lower",10,-0.9031996247863138,0.6315791872871583,0.052871718161221236,0.019275687152324573,0,0,0,0,0,1,0
OG0005176,"AllOutgroup,Coral,Higher,Leafcutter",5,0.30287431585132824,-0.8348854298110098,0.12258802881614671,0.9230438729423228,0,1,0,0,0,0,0
OG0005177,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.9031995203022667,0.6315755787696489,0.0528732739998656,0.019253268460087344,0,0,0,0,0,1,0
OG0005180,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.01507286231331602,0.5549351247222976,-0.0028455540976191963,0.036875676561621544,1,0,0,0,0,1,0
OG0005181,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.3657856095328923,-0.7700668181807506,-0.8821780764404644,0.2145799169361404,0,0,0,1,0,0,0
OG0005183,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.14646189840037413,0.09731798094052123,0.48858876474306634,0.09603034045345107,1,0,1,0,0,1,1
OG0005186,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271487772785133,0.27712326630004763,-0.06679843024023956,0.035818626728875286,1,0,0,0,0,0,0
OG0005189,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271529855909381,0.2771198912419542,-0.06678442477939071,0.035873811077674275,1,0,0,0,0,0,0
OG0005190,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271552195324029,0.27711810693023436,-0.06677697284890183,0.035903102975635016,1,0,0,0,0,0,0
OG0005195,"AllOutgroup,Coral,Higher,Lower",6,-0.3660569396216733,-0.7690326982882295,-0.8855671638790308,0.20544285586739214,0,0,0,1,0,0,0
OG0005196,"AllOutgroup,Coral,Higher,Lower",6,-0.3673533692022914,-0.7670589945389885,-0.8910551553520473,0.19009848494554513,0,0,0,1,0,0,0
OG0005200,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.16628345792309845,-0.507877198940249,0.3235168970296269,-0.8659431060109669,0,0,0,0,1,0,1
OG0005203,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271343285698592,0.2771366194121452,-0.06684447657025692,0.03562946124348354,1,0,0,0,0,0,0
OG0005214,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.015073780498971897,0.5549354123484205,-0.002845542753230519,0.036875702521689244,1,0,0,0,0,1,0
OG0005215,"AllOutgroup,Coral,Leafcutter,Lower",10,0.8271424671478831,0.2771288917238852,-0.06681880051539282,0.03573614016511962,1,0,0,0,0,0,0
OG0005225,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.3657943706344769,-0.7699248860087644,-0.8826896820269315,0.21323777256829027,0,0,0,1,0,0,0
OG0005229,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.1896057480290145,-0.22266865154061727,-0.049706042241233483,0.00931321600994827,1,0,0,1,0,1,1
OG0005231,"AllOutgroup,Coral,Higher,Lower",6,0.8271574667474001,0.2771163132334732,-0.06676946932631941,0.035932578000765734,1,0,0,0,0,0,0
OG0005235,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271607362758001,0.27711371395395185,-0.06675852918595758,0.03597545776160165,1,0,0,0,0,0,0
OG0005237,"AllOutgroup,Higher,Leafcutter,Lower",1,0.4383328736472464,-0.45784786363926805,0.4072843657446936,0.1253518202853191,1,1,0,0,0,0,1
OG0005238,"AllOutgroup,Higher,Leafcutter",7,-0.9031996259612531,0.6315791290134867,0.052871754886115785,0.019275349444840773,0,0,0,0,0,1,0
